lat,lon,spring_T
41.3850987,-116.1467288,18.87
40.1015588,-118.9343232,19.2
40.4797067,-116.5399275,
38.6943812,-122.7188714,
39.8682408,-117.4942796,40.4
43.9398771,-116.0236638,7.5
31.9209458,-103.6108644,
47.7531424,-118.7094186,14.72
47.7531424,-118.7094186,14.72
47.7531424,-118.7094186,14.72
31.8089746,-103.1825757,
34.0383881,-106.9605883,
32.1438159,-103.0454326,
42.0199291,-111.2032887,92.0
40.8298966,-117.2209519,16.8
41.5731363,-122.8944224,15.1
31.9188341,-103.0520155,
31.7293667,-103.1104939,
31.744418,-103.0759126,
31.8891287,-103.520283,
31.712344,-103.0393995,
31.8232769,-103.161341,
31.9490707,-103.0420594,
31.59793,-103.4842571,
46.3985,-114.6172,
31.5227186,-103.0779626,
39.668926,-115.5238876,14.19
40.2730915,-118.7159863,
48.56,-104.9207,
33.116939,-103.020397,
31.437444,-103.1223948,
39.4332375,-118.6893069,24.4
43.9551,-108.6615,
31.5856481,-103.3847382,
31.9693837,-103.0526105,
31.9940488,-103.7359913,
31.1526419,-103.5248834,
31.4940435,-103.2106841,
46.3499,-108.6308,
38.8426778,-122.8068759,
31.8663721,-104.0520361,
31.9449036,-104.0162137,
45.8364,-114.972,
31.5083155,-103.2303411,
33.49555,-103.0151653,
31.3044118,-103.218876,
31.6616896,-104.0485451,
46.5352033,-111.6496664,26.85
46.5998998,-112.1063825,57.4
32.163903,-103.0346779,
35.1500659,-106.2672761,
31.9191248,-103.0127024,
31.8032,-104.1575,
45.0573212,-121.3928447,
31.5865585,-103.3042051,
39.7683894,-119.8236097,15.75
42.6327552,-103.0380431,
31.9640624,-103.069608,
38.8958258,-107.08563,75.0
31.9482222,-103.6397017,
31.8929945,-103.9650026,
39.4831939,-119.8093051,85.0
31.9130623,-103.149573,
35.8584497,-106.4977879,
45.6182,-115.5093,
46.5009,-112.2509,
31.9356239,-103.0367806,
31.8570407,-103.1041433,
31.929626,-103.1299,
31.8956665,-103.1434058,
31.8419132,-103.9960272,
48.3499,-105.5407,
34.8166843,-120.3242584,
34.8166843,-120.3242584,
34.8166843,-120.3242584,
31.8017875,-103.8469088,
45.75,-115.947,
31.5001336,-111.2506889,
31.7697609,-103.0540262,
31.7479953,-103.0840763,
31.840955,-104.6285086,
33.2630667,-103.0182336,
31.8852127,-104.0855178,
31.991285,-103.2043238,
31.6968843,-103.2781492,
32.1002,-103.1531,
32.1002,-103.1531,
32.1002,-103.1531,
44.2821,-111.5919,7.53
37.7499388,-118.0009325,20.26
39.951603,-117.8947587,52.89
